name,date_for_local_environment,lon,lat
   1982199N13148,18/07/1982 6:00,151.2,13.2
   1982199N07279,19/07/1982 0:00,-78.8,6.6
   1982200N09103,21/07/1982 6:00,101.3,10.3
   1982200N07228,21/07/1982 0:00,-143.8,8
   1982201N12277,20/07/1982 6:00,-81.1,11.7
   1982201N09315,21/07/1982 18:00,-60.7,18.3
   1982201N05271,21/07/1982 6:00,-92,4.5
   1982202N10128,21/07/1982 0:00,128,10.4
   1982202N01191,23/07/1982 0:00,-175.7,6.3
   1982202N15123,22/07/1982 6:00,118.7,12.9
   1982203N16267,22/07/1982 12:00,-91.8,12.9
   1982203N04204,23/07/1982 6:00,-158.9,7
   1982203N07250,23/07/1982 6:00,-114.2,7.9
   1982203N21281,23/07/1982 18:00,-75.8,23.8
   1982204N14125,23/07/1982 18:00,123.2,14.2
   1982204N06273,25/07/1982 12:00,-82.1,9.9
   1982205N09249,25/07/1982 12:00,-119.5,5.4
   1982205N14179,25/07/1982 12:00,173.4,16.4
   1982206N12118,25/07/1982 12:00,117.3,11.7
   1982206N15267,26/07/1982 12:00,-89.3,10.3
   1982206N14096,25/07/1982 18:00,95.9,13.2
   1982207N21091,27/07/1982 18:00,92.9,16.8
   1982207N12259,27/07/1982 12:00,-107.1,12.2
   1982207N17166,29/07/1982 6:00,171,10.9
   1982208N07278,27/07/1982 18:00,-79.1,11
   1982208N09178,27/07/1982 18:00,177.5,8.4
   1982209N02190,29/07/1982 18:00,-164.4,-2.9
   1982209N07271,29/07/1982 6:00,-84.4,7.1
   1982209N14297,29/07/1982 0:00,-66.5,14.6
   1982210N05312,29/07/1982 12:00,-49.6,6.7
   1982210N10176,30/07/1982 0:00,176,8.9
   1982210N11147,30/07/1982 0:00,151.3,10.1
   1982210N09260,30/07/1982 0:00,-102.4,7.8
   1982210N11234,29/07/1982 18:00,-127.3,10.6
   1982211N01056,30/07/1982 6:00,56,1.5
   1982211N22091,1/08/1982 0:00,89.2,19
   1982211N00186,30/07/1982 12:00,-176.1,0.6
   1982211N10345,31/07/1982 12:00,-17.1,11.8
   1982212N29124,2/08/1982 6:00,126.2,27.9
   1982213N09261,2/08/1982 6:00,-99.4,15.1
   1982213N27162,2/08/1982 18:00,161,24.3
   1982213N10172,2/08/1982 0:00,171.5,10.9
   1982213N06274,2/08/1982 0:00,-85.3,7.2
   1982213N05197,2/08/1982 12:00,-166.4,4.6
   1982214N08165,2/08/1982 6:00,163.9,9.2
   1982214N11191,3/08/1982 18:00,-177.1,10.4
   1982214N09324,3/08/1982 12:00,-43,7.3
   1982214N29168,3/08/1982 6:00,167.7,28
   1982215N09264,3/08/1982 18:00,-101.6,7.1
   1982215N15172,5/08/1982 0:00,167.4,13.9
   1982216N09276,5/08/1982 12:00,-90.2,7.8
   1982216N07170,5/08/1982 6:00,164.7,3.3
   1982216N16139,6/08/1982 6:00,133,16.2
   1982216N08251,5/08/1982 0:00,-110,7.9
   1982216N07180,5/08/1982 6:00,176.3,5.9
   1982217N19090,5/08/1982 12:00,88.7,20.9
   1982217N04282,8/08/1982 18:00,-77.5,10.5
   1982217N08347,7/08/1982 0:00,-17.2,9.4
   1982218N05077,6/08/1982 18:00,72.3,8.7
   1982218N09259,6/08/1982 6:00,-101.4,9
   1982218N05195,8/08/1982 0:00,-172.7,6.7
   1982219N09203,7/08/1982 18:00,-159,7.1
   1982220N14192,10/08/1982 6:00,-165.4,6
   1982220N06107,9/08/1982 0:00,106.4,7.2
